Arrondissement;Date_debut;Date_fin;Type_travaux;latitude;longitude;nb_arbres;tps_par_arbre
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;2;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
20;29/01/2024;09/02/2024;Abattage;48.85868504551703;2.3990198128573694;1;35
20;29/01/2024;09/02/2024;Abattage;48.871653785426865;2.3990008768606046;1;35
20;29/01/2024;09/02/2024;Abattage;48.8654771686;2.3941401398407445;1;35
20;29/01/2024;09/02/2024;Abattage;48.86700096172458;2.389497012857752;2;35
20;29/01/2024;09/02/2024;Plantation;48.870184713082324;2.3874127840216937;1;10
20;29/01/2024;09/02/2024;Plantation;48.87302080508233;2.394353697513366;2;10
20;29/01/2024;09/02/2024;Plantation;48.86769513500334;2.411207997513132;1;10
20;29/01/2024;09/02/2024;Plantation;48.85222870225026;2.4128850686763075;5;10
20;29/01/2024;09/02/2024;Plantation;48.859242292120584;2.4068212975127787;1;10
20;29/01/2024;09/02/2024;Plantation;48.85367217850772;2.401661912857132;1;10
BPE;29/01/2024;09/02/2024;Plantation;;;50;10
BPI;29/01/2024;09/02/2024;Plantation;;;50;10
